Country,Location,Latitude,Longitude,Explosion_Size,Data_Name,Year
CHINA,Lop Nor,41.5,89,22,Nan,1964
CHINA,Lop Nor,41.5,89,35,Nan,1965
CHINA,Lop Nor,41.5,89,250,Nan,1966
CHINA,Lop Nor,41.5,89,12,Nan,1966
CHINA,Lop Nor,41.5,89,122,Nan,1966
CHINA,Lop Nor,40.8,89.4,3300,Nan,1967
CHINA,Lop Nor,41.5,89,25,Nan,1967
CHINA,Lop Nor,41.5,89,3000,Nan,1968
CHINA,Lop Nor,41.35,88.33,25,Nan,1969
CHINA,Lop Nor,40.72,89.3,3000,Nan,1969
CHINA,Lop Nor,40.92,89.4,3400,Nan,1970
CHINA,Lop Nor,41.5,89,15,Nan,1971
CHINA,Lop Nor,41.5,89,8,Nan,1972
CHINA,Lop Nor,41.5,89,170,Nan,1972
CHINA,Lop Nor,40.6,89.5,0,Nan,1973
CHINA,Lop Nor,39.5,89.4,1000,Nan,1974
CHINA,Lop Nor,41.43,88.4,10,Nan,1975
CHINA,Lop Nor,41.5,89,20,Nan,1976
CHINA,Lop Nor,41.5,89,200,Nan,1976
CHINA,Lop Nor,41.64,88.21,20,Nan,1976
CHINA,Lop Nor,40.78,89.66,8000,Nan,1976
CHINA,Lop Nor,41.5,89,20,Nan,1977
CHINA,Lop Nor,41.5,89,20,Nan,1978
CHINA,Lop Nor,41.42,88.66,20,Nan,1978
CHINA,Lop Nor,41.5,89,20,Nan,1978
CHINA,Lop Nor,41.04,89.94,1000,Nan,1980
CHINA,Lop Nor,41.632,88.301,15,Nan,1982
CHINA,Lop Nor,41.566,88.766,100,Nan,1983
CHINA,Lop Nor,41.633,88.781,70,Nan,1984
CHINA,Lop Nor,41.5,89,50,Nan,1984
CHINA,Lop Nor,41.6,88.9,200,Nan,1987
CHINA,Lop Nor,41.75,88.474,20,Nan,1988
CHINA,Lop Nor,41.654,88.736,65,Nan,1990
CHINA,Lop Nor,41.586,88.799,200,Nan,1990
CHINA,Lop Nor,41.604,88.813,660,Nan,1992
CHINA,Lop Nor,41.763,88.387,20,Nan,1992
CHINA,Lop Nor,41.667,88.695,80,Nan,1993
CHINA,Lop Nor,41.527,88.71,120,Nan,1994
CHINA,Lop Nor,41.662,88.753,120,Nan,1994
CHINA,Lop Nor,41.603,88.82,200,Nan,1995
CHINA,Lop Nor,41.559,88.8,160,Nan,1995
CHINA,Lop Nor,41.65,88.76,120,Nan,1996
CHINA,Lop Nor,41.69,88.35,12,Nan,1996
