Year,Country,Data_Name,Latitude,Longitude,Explosion_Size,Location
1964,CHINA,Nan,41.5,89,22,Lop Nor
1965,CHINA,Nan,41.5,89,35,Lop Nor
1966,CHINA,Nan,41.5,89,250,Lop Nor
1966,CHINA,Nan,41.5,89,12,Lop Nor
1966,CHINA,Nan,41.5,89,122,Lop Nor
1967,CHINA,Nan,40.8,89.4,3300,Lop Nor
1967,CHINA,Nan,41.5,89,25,Lop Nor
1968,CHINA,Nan,41.5,89,3000,Lop Nor
1969,CHINA,Nan,41.35,88.33,25,Lop Nor
1969,CHINA,Nan,40.72,89.3,3000,Lop Nor
1970,CHINA,Nan,40.92,89.4,3400,Lop Nor
1971,CHINA,Nan,41.5,89,15,Lop Nor
1972,CHINA,Nan,41.5,89,8,Lop Nor
1972,CHINA,Nan,41.5,89,170,Lop Nor
1973,CHINA,Nan,40.6,89.5,0,Lop Nor
1974,CHINA,Nan,39.5,89.4,1000,Lop Nor
1975,CHINA,Nan,41.43,88.4,10,Lop Nor
1976,CHINA,Nan,41.5,89,20,Lop Nor
1976,CHINA,Nan,41.5,89,200,Lop Nor
1976,CHINA,Nan,41.64,88.21,20,Lop Nor
1976,CHINA,Nan,40.78,89.66,8000,Lop Nor
1977,CHINA,Nan,41.5,89,20,Lop Nor
1978,CHINA,Nan,41.5,89,20,Lop Nor
1978,CHINA,Nan,41.42,88.66,20,Lop Nor
1978,CHINA,Nan,41.5,89,20,Lop Nor
1980,CHINA,Nan,41.04,89.94,1000,Lop Nor
1982,CHINA,Nan,41.632,88.301,15,Lop Nor
1983,CHINA,Nan,41.566,88.766,100,Lop Nor
1984,CHINA,Nan,41.633,88.781,70,Lop Nor
1984,CHINA,Nan,41.5,89,50,Lop Nor
1987,CHINA,Nan,41.6,88.9,200,Lop Nor
1988,CHINA,Nan,41.75,88.474,20,Lop Nor
1990,CHINA,Nan,41.654,88.736,65,Lop Nor
1990,CHINA,Nan,41.586,88.799,200,Lop Nor
1992,CHINA,Nan,41.604,88.813,660,Lop Nor
1992,CHINA,Nan,41.763,88.387,20,Lop Nor
1993,CHINA,Nan,41.667,88.695,80,Lop Nor
1994,CHINA,Nan,41.527,88.71,120,Lop Nor
1994,CHINA,Nan,41.662,88.753,120,Lop Nor
1995,CHINA,Nan,41.603,88.82,200,Lop Nor
1995,CHINA,Nan,41.559,88.8,160,Lop Nor
1996,CHINA,Nan,41.65,88.76,120,Lop Nor
1996,CHINA,Nan,41.69,88.35,12,Lop Nor
