PS C:\Users\wadej\OneDrive\Documents\streaming-02-multiple-processes> & C:/Users/wadej/AppData/Local/Programs/Python/Python311/python.exe c:/Users/wadej/OneDrive/Documents/streaming-02-multiple-processes/process_streaming_0.py
2023-09-03 07:42:22,590 - INFO - ===============================================
2023-09-03 07:42:22,591 - INFO - Starting fake streaming process.
2023-09-03 07:42:22,591 - INFO - Starting to stream data from batchfile_0_farenheit.csv to ('localhost', 9999).
2023-09-03 07:42:22,591 - INFO - Opened for reading: batchfile_0_farenheit.csv.
2023-09-03 07:42:22,592 - INFO - Skipped header row: ['ï»¿Year', 'Month', 'Day', 'Time', 'TempF']
2023-09-03 07:42:22,599 - INFO - Sent: b'[2023, 1, 3, 7:55, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:25,599 - INFO - Sent: b'[2023, 1, 3, 7:35, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:28,601 - INFO - Sent: b'[2023, 1, 3, 7:15, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:31,603 - INFO - Sent: b'[2023, 1, 3, 6:55, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:34,604 - INFO - Sent: b'[2023, 1, 3, 6:35, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:37,606 - INFO - Sent: b'[2023, 1, 3, 6:15, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:40,608 - INFO - Sent: b'[2023, 1, 3, 5:55, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:43,610 - INFO - Sent: b'[2023, 1, 3, 5:35, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:46,611 - INFO - Sent: b'[2023, 1, 3, 5:15, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:49,612 - INFO - Sent: b'[2023, 1, 3, 4:55, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:52,613 - INFO - Sent: b'[2023, 1, 3, 4:35, 12]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:55,616 - INFO - Sent: b'[2023, 1, 3, 4:15, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:42:58,616 - INFO - Sent: b'[2023, 1, 3, 3:55, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:01,619 - INFO - Sent: b'[2023, 1, 3, 3:35, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:04,620 - INFO - Sent: b'[2023, 1, 3, 3:15, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:07,623 - INFO - Sent: b'[2023, 1, 3, 2:55, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:10,624 - INFO - Sent: b'[2023, 1, 3, 2:35, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:13,626 - INFO - Sent: b'[2023, 1, 3, 2:15, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:16,627 - INFO - Sent: b'[2023, 1, 3, 1:55, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:19,628 - INFO - Sent: b'[2023, 1, 3, 1:35, 14]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:22,630 - INFO - Sent: b'[2023, 1, 3, 1:15, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:25,632 - INFO - Sent: b'[2023, 1, 3, 0:55, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:28,635 - INFO - Sent: b'[2023, 1, 3, 0:35, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:31,637 - INFO - Sent: b'[2023, 1, 3, 0:15, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:34,639 - INFO - Sent: b'[2023, 1, 2, 23:55, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:37,641 - INFO - Sent: b'[2023, 1, 2, 23:35, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:40,643 - INFO - Sent: b'[2023, 1, 2, 23:15, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:43,644 - INFO - Sent: b'[2023, 1, 2, 22:55, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:46,646 - INFO - Sent: b'[2023, 1, 2, 22:35, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:49,648 - INFO - Sent: b'[2023, 1, 2, 22:15, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:52,648 - INFO - Sent: b'[2023, 1, 2, 21:55, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:55,650 - INFO - Sent: b'[2023, 1, 2, 21:35, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:43:58,652 - INFO - Sent: b'[2023, 1, 2, 21:15, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:01,653 - INFO - Sent: b'[2023, 1, 2, 20:55, 16]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:04,655 - INFO - Sent: b'[2023, 1, 2, 20:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:07,657 - INFO - Sent: b'[2023, 1, 2, 20:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:10,659 - INFO - Sent: b'[2023, 1, 2, 19:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:13,660 - INFO - Sent: b'[2023, 1, 2, 19:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:16,662 - INFO - Sent: b'[2023, 1, 2, 19:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:19,663 - INFO - Sent: b'[2023, 1, 2, 18:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:22,665 - INFO - Sent: b'[2023, 1, 2, 18:35, 18]' on port 9999. Hit CTRL-c to stop.
